Top Blade Steak Lab,"G/F, Wing Ying Mansion, No. 4A-8A Soares Avenue, Ho Man Tin, Kowloon",22.319491123405072,114.17511574021684,Western,3,,4,"hours = ""mon=12:00-21:30;tue=12:00-21:30;wed=12:00-21:30;thu=12:00-21:30;fri=12:00-21:30;sat=12:00-21:30;sun=12:00-21:30""",0,3956 2011
Sendonya,"South and North Portion of G/F, No. 2A Victory Avenue, Ho Man Tin, Kowloon",22.318454591822128,114.17501030715883,Japanese,2,,4,"hours = ""mon=11:30–15:00, 17:30–22:00;tue=11:30–15:00, 17:30–22:00;wed=11:30–15:00, 17:30-22:00;thu=11:30–15:00, 17:30–22:00;fri=11:30–15:00, 17:30–22:00;sat=11:30–15:00, 17:30–22:00;sun=11:30–15:00, 17:30–22:00""",1,2868 6008
Grove HKMU Mini Café,1/F; Jockey Club Institute of Healthcare,22.317656210699692,114.17990237122025,,1,,4,"hours = ""mon=07:30-19:00;tue=07:30-19:00;wed=07:30-19:00;thu=07:30-19:00;fri=07:30-19:00;sat=07:30-14:30;sun=closed""",1,3488 9180
Sweet 19,G/F; 19 19 Ho Man Tin Street; Ho Man Tin,22.316229884088337,114.17509069695522,Western,3,,4,"hours = ""mon=12:00–21:30;tue=12:00–21:30;wed=12:00–21:30;thu=12:00–21:30;fri=12:00–21:30;sat=12:00–21:30;sun=12:00–21:30""",no,26721919
Five To One,G/F; 6 Victory Avenue; Ho Man Tin,22.3188865564252,114.17538687861773,Western,1,,4,"hours = ""mon=08:30-21:00;tue=08:30-21:00;wed=08:30-21:00;thu=08:30-21:00;fri=08:30-21:00;sat=09:30-21:00;sun=09:30-21:00""",no,9155 5795
MU Club,Tai Ning Hall; 12/F; Block A; Main Campus; Hong Kong Metropolitan University; 30 Good Shepherd Street; Ho Man Tin, 22.316665508934246,114.18019750151034,Chinese,2,,/,"hours = ""mon=12:00 - 22:00;tue=12:00 - 22:00;wed=12:00 - 22:00;thu=12:00 - 22:00;fri=12:00 - 22:00;sat=12:00 - 22:00;sun=closed""",no,3613 0124
Picture Kitchen,G/F; 19 19 Ho Man Tin Street; Ho Man Tin,22.31608975903953,114.17549252094632,Western,2,,4,"hours = ""mon=11:30 - 21:00;tue=11:30 - 21:00;wed=11:30 - 21:00;thu=11:30 - 21:00;fri=11:30 - 21:00;sat=11:30 - 21:00;sun=11:30 - 21:00""",no,6949 1447
Homantin Sports Centre Restaurant,1/F; Homantin Sports Centre; Chung Yi Street; Oi Man Estate; Ho Man Tin,22.311850168318962,114.18098333683668,,1,,3,"hours = ""mon=10:00 - 20:00;tue=10:00 - 20:00;wed=10:00 - 20:00;thu=10:00 - 20:00;fri=10:00 - 20:00;sat=10:00 - 20:00;sun=closed""",no,9488 0916
Are U Labeler,G/F; 25A Soares Avenue; Ho Man Tin,22.319809005019838,114.17474980985044,,1,,4,"hours = ""mon=11:30–19:00;tue=11:30–19:00;wed=11:30–19:00;thu=11:30–19:00;fri=11:30–19:00;sat=09:30–19:00;sun=09:30–19:00""",no,31885582
Oi Man Tea Restaurant,Shop 7-8; G/F; Chiu Man House; Oi Man Estate; Ho Man Tin,22.313651267244232,114.17882708628873,Hong Kong,1,,3,"hours = ""mon=07:00–20:00;tue=07:00–20:00;wed=07:00–20:00;thu=07:00–20:00;fri=07:00–20:00;sat=07:00–20:00;sun=07:00–20:00""",no,27140222
Power Sky Cafe,Shop D; G/F; 73 Waterloo Road; Ho Man Tin,22.3192069557125,114.17607250560391,Hong Kong,1,,3,"hours = ""mon=07:00 - 22:00;tue=07:00 - 22:00;wed=07:00 - 22:00;thu=07:00 - 22:00;fri=07:00 - 22:00;sat=07:00 - 22:00;sun=07:00 - 22:00""",no,96923989
Fang Shu Yuangong Restaurant,68 Fat Kwong St; Quarry Hill; Hong Kong,22.315895436391912,114.1822837712203,,2,,4,"hours = ""mon=11:00–22:30;tue=11:00–22:30;wed=11:00–22:30;thu=11:00–22:30;fri=11:00–22:30;sat=11:00–22:30;sun=11:00–22:30""",no,
Halfway Coffee,G/F; Wing Ying Mansion; 4 Soares Avenue; Ho Man Tin,22.319422192376692,114.17515821251028,,1,,4,"hours = ""mon=08:00–18:00;tue=08:00–18:00;wed=08:00–18:00;thu=08:00–18:00;fri=08:00–18:00;sat=08:00–18:00;sun=08:00–18:00""",no,26061160
Sun Lok yuen,hop S18-S19; Homantin Market; G/F; Homantin Plaza; 88 Fat Kwong Street; Ho Man Tin,22.31653959302745,114.181735938686,Hong Kong,1,,3,"hours = ""mon=07:00-22:00;tue=07:00-22:00;wed=07:00-22:00;thu=07:00-22:00;fri=07:00-22:00;sat=07:00-22:00;sun=07:00-22:00""",no,28827389
Black Sugar Coffee & Lifestyle,G/F; Peace Mansion; 8 Peace Ave; Ho Man Tin,22.320890213762603,114.17506169282917,Western,1,,4,"hours = ""mon=08:00–18:00;tue=08:00–18:00;wed=08:00–18:00;thu=08:00–18:00;fri=08:00–18:00;sat=10:00–18:00;sun=10:00–18:00""",no,37096259
Hiya! Chafan,Shop 227-228; 2/F; Homantin Plaza; 80 Fat Kwong Street; Ho Man Tin,22.316464417299713,114.18209747976202,,2,,2,"hours = ""mon=07:00 - 21:30;tue=07:00 - 21:30;wed=07:00 - 21:30;thu=07:00 - 21:30;fri=07:00 - 21:30;sat=07:00 - 21:30;sun=07:00 - 21:30""",no,23501168
Chan Kee Homemade Bean Curd & Snack Shop,5A; Soares Avenue; Ho Man Tin,22.326002416318875,114.17361769216879,Hong Kong ,1,,3,"hours = ""mon=09:00–23:00;tue=09:00–23:00;wed=09:00–23:00;thu=09:00–23:00;fri=09:00–23:00;sat=09:00–23:00;sun=09:00–23:00""",no,34892818
Canton Bun Dim Sum Restaurant,Shop 1-4; G/F; Cooked Food Stall; Oi Man Estate; 60 Chung Hau Street; Ho Man Tin,22.314931048513824,114.17828583070875,,1,,3,"hours = ""mon=07:00-22:00;tue=07:00-22:00;wed=07:00-22:00;thu=07:00-22:00;fri=07:00-22:00;sat=07:00-22:00;sun=07:00-22:00""",no,23631968
 Local House Cart Noodles,Shop G2; G/F; Oi Man Plaza; 60 Chung Hau Street; Ho Man Tin,22.312710892355977,114.17859364080716,Chinese,1,,4,"hours = ""mon=10:30–21:00;tue=10:30–21:00;wed=10:30–21:00;thu=10:30–21:00;fri=10:30–21:00;sat=10:30–21:00;sun=10:30–21:00""",no,90212713
Jasmine Cuisine,Shop 203; 2/F; Homantin Plaza; 80 Fat Kwong Street; Ho Man Tin,22.319195280564546,114.17273338313521,Chinese,3,,3,"hours = ""mon=07:00 - 23:00;tue=07:00 - 23:00;wed=07:00 - 23:00;thu=07:00 - 23:00;fri=07:00 - 23:00;sat=07:00 - 23:00;sun=07:00 - 23:00""",no,26261611
hana-musubi (ho man tin),Shop 220; 2/F; Homantin Plaza; 80 Fat Kwong Street; Ho Man Tin,22.316653240356157,114.18211210403692,Japanese,1,,4,"hours = ""mon=07:00 - 21:30;tue=07:00 - 21:30;wed=07:00 - 21:30;thu=07:00 - 21:30;fri=07:00 - 21:30;sat=07:00 - 21:30;sun=07:00 - 21:30""",no,54897213
Milk Cafe,Shop 234A&B; 2/F; Homantin Plaza; 80 Fat Kwong Street; Ho Man Tin,22.316190786035563,114.18161080544772,,1,,4,"hours = ""mon=07:00 - 21:00;tue=07:00 - 21:00;wed=07:00 - 21:00;thu=07:00 - 21:00;fri=07:00 - 21:00;sat=07:00 - 21:00;sun=07:00 - 21:00""",no,27630418
Dragon Fly Asian Fusion Restaurant,Shop 5-8; G/F; Cooked Food Stall; Oi Man Estate; 60 Chung Hau Street; Ho Man Tin,22.313817056003437,114.17828304265971,,1,,3,"hours = ""mon=11:00–15:00,18:00–22:00;tue=11:00–15:00,18:00–22:00;wed=11:00–15:00,18:00–22:00;thu=11:00–15:00,18:00–22:00;fri=11:00–15:00,18:00–22:00;sat=11:00–15:00,18:00–22:00;sun=11:00–15:00,18:00–22:00""",no,25669926
Café Icon,G/F; 10 Victory Avenue; Ho Man Tin,22.318923230489293,114.17554172679127,,1,,3,"hours = ""mon=07:00–22:00;tue=07:00–22:00;wed=07:00–22:00;thu=07:00–22:00;fri=07:00–22:00;sat=07:00–22:00;sun=07:00–22:00""",no,23318181
Delicous Eatery,G/F; 8 Soares Aveneue; Mong Kok,22.31994098001261,114.17517201382381,Western,3,,3,"hours = ""mon=08:00–22:00;tue=08:00–22:00;wed=08:00–22:00;thu=08:00–22:00;fri=closed;sat=08:00–22:00;sun=08:00–22:00""",no,21523232
TamJai Yunnan Mixian,Shop 102A & 102B; 1/F; Homantin Plaza; 80 Fat Kwong Street; Ho Man Tin,22.31650219111477,114.18177978461574,,1,,3,"hours = ""mon=07:15 - 21:00;tue=07:15 - 21:00;wed=07:15 - 21:00;thu=07:15 - 21:00;fri=07:15 - 21:00;sat=07:15 - 21:00;sun=07:15 - 21:00""",no,22781018
Plam Court Western Restaurant,1/F; Metropark Hotel Kowloon; 75 Waterloo Road; Mong Kok　,22.319751580112456,114.176020722401,Western,4,,3,"hours = ""mon=07:00 - 23:00;tue=07:00 - 23:00;wed=07:00 - 23:00;thu=07:00 - 23:00;fri=07:00 - 23:00;sat=07:00 - 23:00;sun=07:00 - 23:00""",no,21973509
Cross Cafe,Shop G01; G/F; The Argyle; 102 Argyle Street; Mong Kok,22.321616149967888,114.17463648960094,Hong Kong,1,,3,"hours = ""mon=07:15–18:00;tue=07:15–18:00;wed=07:15–18:00;thu=07:15–18:00;fri=07:15–18:00;sat=07:15–18:00;sun=07:15–18:00""",no,23853266
China Gargen Sirloin Special (HMT),Shop B2; G/F; Victory Mansion; 14F-14G Victory Avenue; Ho Man Tin,22.319423156078464,114.1749084291681,,1,,3,"hours = ""mon=11:00–23:00;tue=11:00–23:00;wed=11:00–23:00;thu=11:00–23:00;fri=11:00–23:00;sat=11:00–23:00;sun=11:00–22:30""",no,28817711
Nan Wah Restaurant,G/F; 67A Waterloo Road; Ho Man Tin,22.318125707660137,114.17501990218447,,1,,3,"hours = ""mon=07:00 - 00:00;tue=07:00 - 00:00;wed=07:00 - 00:00;thu=07:00 - 00:00;fri=07:00 - 00:00;sat=07:00 - 00:00;sun=07:00 - 00:00""",no,26244173
Genki Sushi (Homantin Plaza),Shop 318; 3/F; Homantin Plaza; 80 Fat Kwong Street; Ho Man Tin ,22.31643643631651,114.18170803552451,Japanese,2,,3,"hours = ""mon=11:30–22:30;tue=11:30–22:30;wed=11:30–22:30;thu=11:30–22:30;fri=1:30–22:30;sat=11:30–22:30;sun=11:30–22:30""",no,27221238
Wah Yuen Dumpling Restaurant,G/F; 14 Victory Avenue; Ho Man Tin,22.31931093044928,114.17475018313527,,1,,3,"hours = ""mon=11:00 - 00:00;tue=11:00 - 00:00;wed=11:00 - 00:00;thu=11:00 - 00:00;fri=11:00 - 00:00;sat=11:00 - 00:00;sun=11:00 - 00:00""",no,27138228
Neighbour's,G/F; 2B Victory Avenue; Ho Man Tin,22.31870140680002,114.17496379662698,Hong Kong,1,,3,"hours = ""mon=11:30 - 22:00;tue=closed;wed=11:30 - 22:00;thu=11:30 - 22:00;fri=11:30 - 22:00;sat=11:30 - 22:00;sun=11:30 - 22:00""",yes,66036068
ADAM'S CAFE,Shop S1 & S4; Homantin Market; G/F; Homantin Plaza; 80 Fat Kwong Street; Ho Man Tin ,22.31645943434837,114.18213502731547,Western,1,,3,"hours = ""mon=07:30 - 18:30;tue=07:30 - 18:30;wed=07:30 - 18:30;thu=07:30 - 18:30;fri=07:30 - 18:30;sat=08:00 - 17:00;sun=closed""",no,28662261
McDonald's (Homantin Plaza),Shop 319; 3/F; Homantin Plaza; 80 Fat Kwong Street; Ho Man Tin ,22.316161630544403,114.18171943491285,,1,,3,"hours = ""mon=06:30 - 22:00;tue=06:30 - 22:00;wed=06:30 - 22:00;thu=06:30 - 22:00;fri=06:30 - 22:00;sat=06:30 - 22:00;sun=06:30 - 22:00""",no,22420462
EPark Coffee,G/F; Metropark Hotel Mongkok; 22 Lai Chi Kok Road; Prince Edward,22.323634780007836,114.1674525604969,Western,1,,3,"hours = ""mon=07:30 - 20:00;tue=07:30 - 20:00;wed=07:30 - 20:00;thu=07:30 - 20:00;fri=07:30 - 20:00;sat=07:30 - 20:00;sun=07:30 - 20:00""",no,23976683
Tai Tai Foodtopia HKMU MC,G/F; Jockey Club Campus,22.316178130631755,114.18050164912046,,1,,3,"hours = ""mon=09:00-19:00;tue=09:00-19:00;wed=09:00-19:00;thu=09:00-19:00;fri=09:00-19:00;sat=09:00-19:00;sun=closed""",yes,/
Grove Cafe HKMU Cafe MC,,22.316178130631756,114.18050164912047,,1,,4,"hours = ""mon=07:30-19:00;tue=07:30-19:00;wed=07:30-19:00;thu=07:30-19:00;fri=07:30-19:00;sat=07:30-14:30;sun=closed""",yes,34889180
The Forest HKMU JCC,,22.31597935438934,114.1780125246582,,1,,4,"hours = ""mon=07:30–20:30;tue=07:30–20:30;wed=07:30–20:30;thu=07:30–20:30;fri=07:30–20:30;sat=08:30–20:30;sun=08:30–20:30""",yes,3422 3142
BAFANG DUMPLING (Oi Man Plaza),Shop 101; 1/F; Oi Man Plaza; 60 Chung Hau Street; Ho Man Tin,22.312579687154596,114.1785442585282,,1,,3,"hours = ""mon=11:00 - 20:00;tue=11:00 - 20:00;wed=11:00 - 20:00;thu=11:00 - 20:00;fri=11:00 - 20:00;sat=11:00 - 20:00;sun=11:00 - 20:00""",no,26589298
hana-musubi (mong kok MTR),Shop MOK 14; Mong Kok MTR Station; Mong Kok,22.320703324136808,114.16989652060526,Japanese,1,,4,"hours = ""mon=	07:00–22:00;tue=07:00–22:00;wed=07:00–22:00;thu=07:00–22:00;fri=07:00–22:00;sat=07:00–22:00;sun=07:00–22:00""",no,24360713
hana-musubi (mong kok Langham Place),Shop 37; B2/F; Langham Place; 8 Argyle St; Mong Kok,22.319172552127952,114.1687416920657,Japanese,1,,4,"hours = ""mon=	08:00–21:30;tue=08:00–21:30;wed=08:00–21:30;thu=08:00–21:30;fri=08:00–21:30;sat=08:00–21:30;sun=08:00–21:30""",no,23677113